author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;living_meters;kitchen_meters;phone;district;street;underground;residential_complex
GloraX;developer;https://spb.cian.ru/sale/flat/279507448/;Sankt-Peterburg;sale;flat;7;19;1;30.76;302665;9309999;2025;13.0;5.0;+78122134320;Vasileostrovskij;Morskoj;Zenit;Gloraks Premium Vasileostrovskij ZhK
Ментор Девелопмент;real_estate_agent;https://spb.cian.ru/sale/flat/284778220/;Sankt-Peterburg;sale;flat;1;4;-1;20.7;185748;3845000;1826;-1;-1;+79112535189;Admiraltejskij;Podol'skaja;Tehnologicheskij institut;
Группа Эталон;developer;https://spb.cian.ru/sale/flat/285017500/;Sankt-Peterburg;sale;flat;4;18;1;32.4;262345;8500000;2023;17.0;5.0;+78122134074;Admiraltejskij;Izmajlovskoe;Baltijskaja;Kvartal Galaktika
GloraX;developer;https://spb.cian.ru/sale/flat/279352060/;Sankt-Peterburg;sale;flat;13;14;1;23.58;339270;7999999;2024;12.0;6.0;+78122134124;Krasnogvardejskij;Malaja Ohta;Ladozhskaja;Glorax Zanevskij
GloraX;developer;https://spb.cian.ru/sale/flat/279351498/;Sankt-Peterburg;sale;flat;14;15;1;22.07;261893;5779999;2024;17.0;-1;+78122134168;Krasnogvardejskij;Malaja Ohta;Ladozhskaja;Apart-otel' 25/7 Zanevskij
VALO;real_estate_agent;https://spb.cian.ru/sale/flat/284200228/;Sankt-Peterburg;sale;flat;5;18;-1;28.32;215395;6100000;2019;19.0;-1;+79819192386;Frunzenskij;Salova;Buharestskaja;Dohodnye apartamenty VALO
Группа Эталон;developer;https://spb.cian.ru/sale/flat/283802323/;Sankt-Peterburg;sale;flat;1;10;1;27.07;287562;7784324;2024;12.0;5.0;+78122132252;Kalininskij;Finljandskij;;iLona
Метры оптом;real_estate_agent;https://spb.cian.ru/sale/flat/284074411/;Sankt-Peterburg;sale;flat;1;5;1;19.2;220833;4240000;1905;-1;-1;+79811792023;Admiraltejskij;Bronnitskaja;Tehnologicheskij institut;
Группа Эталон;developer;https://spb.cian.ru/sale/flat/285018952/;Sankt-Peterburg;sale;flat;3;25;1;23.6;229283;5411081;2024;11.0;4.0;+78122181154;Primorskij;Kolomjagi;Prospekt Prosveschenija;Novoorlovskij ZhK
Группа Эталон;developer;https://spb.cian.ru/sale/flat/285017923/;Sankt-Peterburg;sale;flat;4;16;1;36.9;271445;10016323;2021;23.0;-1;+78124269058;Nevskij;Nevskaja zastava;Elizarovskaja;Etalon na Neve
ПИК;developer;https://spb.cian.ru/sale/flat/276658444/;Sankt-Peterburg;sale;flat;3;9;1;21.2;374040;7929648;2025;8.0;4.0;+78122134151;Admiraltejskij;Izmajlovskoe;Baltijskaja;Lermontovskij 54 ZhK
Метры оптом;real_estate_agent;https://spb.cian.ru/sale/flat/280862242/;Sankt-Peterburg;sale;flat;2;4;1;14.09;262597;3700000;1898;11.0;-1;+79119334962;Admiraltejskij;Semenovskij;Tehnologicheskij institut;
Метры оптом;real_estate_agent;https://spb.cian.ru/sale/flat/282189436/;Sankt-Peterburg;sale;flat;2;6;1;26.37;208570;5500000;1829;22.0;-1;+79819193531;Admiraltejskij;Semenovskij;Tehnologicheskij institut;
GloraX;developer;https://spb.cian.ru/sale/flat/282487200/;Sankt-Peterburg;sale;flat;5;18;1;30.7;306514;9409999;2024;16.0;4.0;+78122134219;Vasileostrovskij;Morskoj;Primorskaja;GloraX Vasileostrovskij
ПИК;developer;https://spb.cian.ru/sale/flat/277167918/;Sankt-Peterburg;sale;flat;2;12;1;28.7;259440;7445928;2025;13.0;6.0;+78122181125;Vasileostrovskij;Gavan';Gornyj institut;Shkiperskij 19 ZhK
Группа Эталон;developer;https://spb.cian.ru/sale/flat/285018398/;Sankt-Peterburg;sale;flat;2;12;1;22.5;175467;3948018;2025;9.0;4.0;+78122181108;Pushkinskij;;Kupchino;Monografija ZhK
ПИК;developer;https://spb.cian.ru/sale/flat/284099568/;Sankt-Peterburg;sale;flat;2;14;1;20.0;292434;5848680;2025;9.0;5.0;+78122181147;Frunzenskij;Volkovskoe;Obvodnyj kanal;Vitebskij Park ZhK
Группа Эталон;developer;https://spb.cian.ru/sale/flat/283802629/;Sankt-Peterburg;sale;flat;2;12;1;25.2;305555;7700000;2022;14.0;-1;+78122132387;Moskovskij;Chernigovskaja;Moskovskie vorota;Kvartal Che
